,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista,Año
24,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
25,"14/2015
", SUSCRIPCIÓN DE UNA PÓLIZA DE SEGURO DE RESPONSABILIDAD CIVIL Y PATRIMONIAL PARA EL EXCMO. AYUNTAMIENTO DE ALICANTE  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/08/2017
","30/11/2017
","20/11/2018
","27.739,46
","Axa Seguros Generales, S.A. de Seguros y Reaseguros
",2017
26,"4/2016
"," SUMINISTRO DE MOBILIARIO DE OFICINA, CON CRITERIOS MEDIOAMBIENTALES ",ECONOMÍA Y HACIENDA ,Suministros ,"Ordinaria
","28/04/2017
","19/05/2017
","18/05/2018
","36.300,00
","ACTIU BERBEGAL Y FORMAS, S.A.
",2017
27,"5/2016
", SERVICIO DE INFORMACIÓN TRIBUTARIA LINEA 900 ,ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","14/03/2017
","31/05/2017
","31/05/2018
","34.243,00
","IBIZALINK, S.L.U.
",2017
0,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","22.170,73
","IMAGINA ESENCIA COOP V.
",2018
1,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","11.704,10
","IMAGINA ESENCIA COOP V.
",2018
2,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","14.506,85
","IMAGINA ESENCIA COOP V.
",2018
3,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","1.380,00
","IMAGINA ESENCIA COOP V.
",2018
4,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","4.080,00
","IMAGINA ESENCIA COOP V.
",2018
5,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","8.500,00
","IMAGINA ESENCIA COOP V.
",2018
6,"49/2018
", EXPLOTACIÓN DE UNA HELADERÍA  A INSTALAR EN EL QUIOSCO UBICADO EN LA ZONA CENTRAL DEL PORTAL DE ELCHE ,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA ,Especiales ,"Ordinaria
","11/04/2017
","01/05/2017
","30/04/2018
","10.765,72
","HERGA  HOSTELERÍA,S.L.
",2018
7,"49/2018
", EXPLOTACIÓN DE UNA HELADERÍA  A INSTALAR EN EL QUIOSCO UBICADO EN LA ZONA CENTRAL DEL PORTAL DE ELCHE ,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA ,Especiales ,"Ordinaria
","09/02/2018
","01/05/2018
","30/04/2020
","22.330,72
","HERGA  HOSTELERÍA,S.L.
",2018
8,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","256.830,97
","EL CORTE INGLÉS, S.A.
",2018
9,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","23/10/2018
","01/01/2019
","31/12/2019
","256.830,97
","EL CORTE INGLÉS, S.A.
",2018
10,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","EL CORTE INGLÉS, S.A.
",2018
11,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","EL CORTE INGLÉS, S.A.
",2018
12,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","20/08/2017
","30/11/2017
","20/11/2018
","27.739,46
","EL CORTE INGLÉS, S.A.
",2018
13,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","14/08/2018
","20/11/2018
","29/11/2019
","134.900,00
","EL CORTE INGLÉS, S.A.
",2018
14,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","14/08/2018
","30/11/2018
","30/11/2018
","131.658,57
","EL CORTE INGLÉS, S.A.
",2018
15,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","14/08/2018
","28/11/2018
","28/11/2019
","27.739,46
","EL CORTE INGLÉS, S.A.
",2018
16,"1/2016
", SERVICIO DE VIGILANCIA EN EL MERCADILLO DENOMINADO JOSE MANUEL GOSÁLVEZ ,COMERCIO Y MERCADOS ,Servicios ,"Ordinaria
","23/10/2018
","11/10/2018
","10/10/2019
","14.985,85
","VECTALIA  SEGURIDAD S.L.
",2018
17,"31/2017
", MANTENIMIENTO Y SOPORTE TÉCNICO DE LAS LICENCIAS DE SOFTWARE DE LA  BASE DE DATOS ORACLE DEL AYUNTAMIENTO DE ALICANTE ,"NUEVAS TECNOLOGÍAS, INNOVACIÓN E INFORMÁTICA ",Servicios ,"Ordinaria
","16/10/2018
","01/01/2019
","31/12/2019
","65.382,45
","ORACLE IBERICA, S.R.L.
",2018
18,"23/2017
", SERVICIO DE ACOMPAÑAMIENTO EN ITINERARIOS DE INCLUSIÓN LABORAL ,ACCIÓN SOCIAL ,Servicios ,"Ordinaria
","12/06/2018
","13/07/2018
","12/07/2019
","151.250,00
","ASOCIACIÓN CULTURAL Y DEPORTIVA OS ZAGALES D'ARAGON
",2018
19,"1/2017
"," SERVICIO DE RECOGIDA, CUSTODIA, MANTENIMIENTO, OBSERVACIÓN, TRATAMIENTO, GESTIÓN Y ENTREGA EN ADOPCIÓN DE ANIMALES ",SANIDAD Y PROTECCIÓN ANIMAL ,Servicios ,"Urgente
","14/08/2018
","19/10/2018
","18/10/2019
","116.728,70
","SOCIEDAD PROTECTORA DE ANIMALES Y PLANTAS DE ALICANTE
",2018
20,"6/2017
"," SERVICIO DE ORGANIZACIÓN, COORDINACIÓN, IMPARTICIÓN, CONTROL Y EVALUACIÓN DEL SERVICIO DE ENSEÑANZA DEPORTIVA MUNICIPAL DEL AYUNTAMIENTO DE ALICANTE ",DEPORTES ,Servicios ,"Urgente
","12/06/2018
","01/10/2018
","31/05/2019
","291.199,68
","Ebone Servicios Educación Deporte, S.L.
",2018
0,ALC-CONT-97/18,Talleres Formación Laboral Personas Exclusión Soci,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2019-10-29,2019-09-25,2020-12-31,52616.67,,2019
1,ALC-CONT-9/19,SUMINISTRO MATERIAL OFICINA 2019,SERVICIO DE ECONOMÍA Y HACIENDA,Suministros,Ordinario,2019-11-19,2019-10-15,2020-12-31,19965.0,,2019
2,3/19,"Impresión, ensobrado y manipulado Recaudación Trib",SERVICIO DE ECONOMÍA Y HACIENDA,Servicios,Ordinario,2019-10-29,2019-12-02,2020-12-31,38387.89,,2019
0,5/19,Acompañamiento Itinerarios Inclusión Laboral,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2020-06-16 00:00:00,2020-02-04,2021-07-30,143000 €,,2020
1,64/19,Servicios deportivos municipales,SERVICIO DE DEPORTES,Servicios,Urgente,2020-05-18 00:00:00,2020-02-11,2021-05-31,148400.45 €,,2020
2,ALC-CONT-21/19,"Trofeos, medallas, copas y placas Deportes",SERVICIO DE DEPORTES,Suministros,Ordinario,2020-06-02 00:00:00,2020-03-11,2021-06-12,19360.0,,2020
3,6/19,Transporte Sanitario del Deporte Escolar,SERVICIO DE DEPORTES,Servicios,Ordinario,2020-05-26 00:00:00,2020-03-16,2021-05-31,62480 €,,2020
4,ALC-CONT-130/18,Mantenimiento 25 licencias Microstation y 1 Bentle,"SERVICIO DE NUEVAS TECNOLOGÍAS, INNOVACIÓN E INFORMÁTICA",Servicios,Ordinario,2020-04-07 00:00:00,2020-04-01,2021-04-30,35943.17 €,,2020
5,64/19,Servicios deportivos municipales,SERVICIO DE DEPORTES,Servicios,Urgente,2020-05-26 00:00:00,2020-04-14,2021-08-31,146006.77 €,,2020
6,ALC-CONT-24/19,Recogida. custodia y entrega en adopción animales,SERVICIO DE SANIDAD Y PROTECCIÓN ANIMAL,Servicios,Ordinario,2020-09-08 00:00:00,2020-07-07,2021-10-24,130982.74 €,,2020
7,121/19,Proyecto Intervención Mediación Etnia Gitana,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2020-11-10 00:00:00,2020-09-21,2021-12-31,18825.4 €,,2020
8,44/19,Talleres Formación Prelaboral Exclusión Social,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2020-10-20 00:00:00,2020-09-21,2021-12-31,47480 €,,2020
9,68/19,actividades formativas para familias,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-11-24 00:00:00,2020-10-21,2021-12-31,40052.94 €,,2020
10,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-10-21,2020-12-31,5175 €,,2020
11,69/19,Suministro trabajos imprenta y relacionados .,SERVICIO DE CONTRATACIÓN,Suministros,Ordinario,2020-12-01 00:00:00,2020-10-26,2021-12-15,42350 €,,2020
12,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-10,2020-12-31,4080 €,,2020
13,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-10,2021-12-31,37700 €,,2020
14,46/19,Publicidad Campaña Comunicaciön Tributaria 19-20,SERVICIO DE CONTRATACIÓN,Servicios,Ordinario,01/112/20,2020-11-16,2021-12-31,59938.92 €,,2020
15,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-19,2021-12-31,11852.5 €,,2020
16,42/19,Comunicación y promoción Hosteleria y Comercio,DEPARTAMENTO DE COMERCIO Y HOSTELERÍA,Servicios,Ordinario,2020-12-22 00:00:00,2020-12-16,2021-12-11,18452.5 €,,2020
17,42/19,Comunicación y promoción Hosteleria y Comercio,DEPARTAMENTO DE COMERCIO Y HOSTELERÍA,Servicios,Ordinario,2020-12-22 00:00:00,2020-12-16,2021-12-09,6534 €,,2020
18,42/19,Comunicación y promoción Hosteleria y Comercio,DEPARTAMENTO DE COMERCIO Y HOSTELERÍA,Servicios,Ordinario,2020-12-22 00:00:00,2020-12-16,2021-12-15,7018 €,,2020
19,,,,,,,,,,,2020
20,,,,,Page 1 / 1,,,,,,2020
0,72/19,Suministros materiales didácticos ,SERVICIO DE EDUCACIÓN,Suministros,Ordinario,2021-02-09 00:00:00.0,2021-01-18 00:00:00.0,2022-02-16 00:00:00.0,18515.84,,2021
1,47/19,Semana Europea de la Movilidad 2019-2020,"SERVICIO TRÁFICO, TRANSPORTES, MOVILIDAD Y ACCESIBILIDAD",Servicios,Ordinario,2021-04-13 00:00:00.0,2021-03-22 00:00:00.0,2022-09-13 00:00:00.0,33262.9,,2021
2,12/20,Proyecto Intervención Mediación Etnia Gitana,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2021-06-22 00:00:00.0,2021-05-03 00:00:00.0,2022-10-08 00:00:00.0,19036.17,,2021
3,02/20,Gatos de colonias callejeras,SERVICIO DE SANIDAD Y PROTECCIÓN ANIMAL,Servicios,Ordinario,2021-06-08 00:00:00.0,2021-05-05 00:00:00.0,2022-08-16 00:00:00.0,14943.0,,2021
4,31/20,Gestión alojamiento viviendas semituteladas ,SERVICIO DE ACCIÓN SOCIAL,Servicios,Urgente,-,2021-05-17 00:00:00.0,2022-11-22 00:00:00.0,315726.35,,2021
5,56/19,Mantenimiento Parque Microinformático,"SERVICIO DE NUEVAS TECNOLOGÍAS, INNOVACIÓN E INFORMÁTICA",Servicios,Ordinario,2021-07-13 00:00:00.0,2021-05-21 00:00:00.0,2022-11-30 00:00:00.0,75504.0,,2021
6,ALC-CONT-13/19,Suministro agua dependencias municipales.,SERVICIO DE ECONOMÍA Y HACIENDA,Suministros,Ordinario,2021-08-03 00:00:00,2021-06-28 00:00:00.0,2022-09-17 00:00:00.0,19993.6,,2021
7,28/19,Suministro material trabajos mantenimiento 4 lotes,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-11-23 00:00:00.0,2021-09-08 00:00:00.0,2023-01-06 00:00:00.0,193600.0,,2021
8,59/20,Material deportivo inventariable para C. Deportes,SERVICIO DE DEPORTES,Suministros,Ordinario,2021-11-10 00:00:00.0,2021-10-13 00:00:00.0,2023-03-24 00:00:00.0,39990.5,,2021
9,70/19-7,Actividades Prevención Conductas Adictivas  LOTE 7,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-10-29 00:00:00.0,2022-12-31 00:00:00.0,5175.0,,2021
10,70/19-3,Actividades Prevención Conductas Adictivas  LOTE 3,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-02 00:00:00.0,2022-12-31 00:00:00.0,15300.0,,2021
11,70/19-4,Actividades Prevención Conductas Adictivas  LOTE 4,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-02 00:00:00.0,2022-12-31 00:00:00.0,23000.0,,2021
12,70/19-6,Actividades Prevención Conductas Adictivas  LOTE 6,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,4080.0,,2021
13,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Servicios,Ordinario,2021-11-30 00:00:00.0,2021-11-03 00:00:00.0,2023-01-02 00:00:00.0,165229.08,,2021
14,68/19,actividades formativas para familias,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,-,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,40052.94,,2021
15,70/19-8,Actividades Prevención Conductas Adictivas LOTE 8,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,11852.5,,2021
16,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Servicios,Ordinario,-,2021-11-10 00:00:00.0,2023-01-30 00:00:00.0,52030.0,,2021
17,73/20,"Impresión, ensobrado y manipulado Rec. Tributaria",SERVICIO DE ECONOMÍA Y HACIENDA,Servicios,Ordinario,2021-11-30 00:00:00.0,2021-11-12 00:00:00.0,2022-12-31 00:00:00.0,54999.34,,2021
18,75/20,Gestión taller habilidades socio-laborales básicas,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,-,2021-11-23 00:00:00.0,2023-05-02 00:00:00.0,48202.02,,2021
19,,,,,,,,,,,2021
20,,,,,Page 1 / 1,,,,,,2021
0,75/20,Gestión taller habilidades socio-laborales básicas,,Servicios,,2022-03-08,,2023-05-02,48202.02,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato",2022
1,72/19,Suministros materiales didácticos ,,Suministros,,2022-02-09,,2022-02-16,18515.88,"B03358900 - INDUSTRIAS GRÁFICAS ALICANTE, S.L., Prórroga de contrato",2022
2,69/20,Asistencia Técnica Agenda Urbana 2030,,Servicios,,2022-03-22,,2023-03-29,32300.95,"A48283964 - IDOM CONSULTING ENGINEERING ARCHITECTURE SAU, Prórroga de contrato",2022
3,107/19,Mantenimiento aplicaciones Genesys,,Servicios,,2022-04-26,,2023-07-03,33841.88,"B83998740 - AUDIFILM CONSULTING, S.L.U., Prórroga de contrato",2022
4,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"A60917978 - AXA, Prórroga de contrato",2022
5,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"V07103419 - PREVISIÓN BALEAR MUTUA DE PREVISIÓN SOCIAL, Prórroga de contrato",2022
6,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"W0371455G - WR BERKLEY ESPAÑA SUCURSAL EN ESPAÑA, Prórroga de contrato",2022
7,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"A28007268 - GENERALI ESPAÑA, Prórroga de contrato",2022
8,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"W0069547H - LIBERTY MUTUAL INSURANCE EUROPE, SUCURSAL EN ESPAÑA, Prórroga de contrato",2022
9,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"A28229599 - MAPFRE VIDA, Prórroga de contrato",2022
10,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,547462.33,"A48001648 - SEGUROS BILBAO, Prórroga de contrato",2022
11,63/19,Pólizas seguros 2020-2021,,Servicios,,2022-05-17,,2023-05-31,1094924.66,"A28141935 - MAPFRE ESPAÑA, Prórroga de contrato",2022
12,26/19,Soporte y mantenimiento software Wcronos y Wservic,,Servicios,,2022-06-07,,2023-09-02,5673.64,"B47039276 - ABACO CENTRO DE ESTUDIOS INFORMATICOS S.L., Prórroga de contrato",2022
13,15/21,Mantenimiento Licencia Plyca,,Servicios,,2022-06-07,,2023-07-06,39402.61,"A81727810 - NEXUS IT, Prórroga de contrato",2022
14,01/21,Proyecto Intervención Socio-Com Escuela Verano,,Servicios,,2022-05-31,,2023-06-03,83353.05,"B54758735 - Filias Desarrollo Comunitario S.L., Prórroga de contrato",2022
15,32/21,Tasación Valor Suelo IIVTNU,,Servicios,,2022-07-12,,2023-09-03,59846.6,"A03525508 - EUROVALORACIONES, S.A., Prórroga de contrato",2022
16,14/20,Dinamización y Animación Comercial,,Servicios,,2022-09-20,,2023-11-23,66175.77,"B73405599 - Ebone Servicios Educación Deporte S.L., Prórroga de contrato",2022
17,10/20,Medidas sanitarias en viviendas y otros,,Servicios,,2022-07-26,,2023-09-02,26771.7,"A03063963 - LOKIMICA SA, Prórroga de contrato",2022
18,33/19,Centro acogida e inserción personas sin hogar,,Servicios,,2022-09-13,,2023-11-27,1208366.57,"G61878831 - FUNDACIÓN SALUD Y COMUNIDAD, Prórroga de contrato",2022
19,ALC-CONT-13/19,Suministro agua dependencias municipales.,,Suministros,,2022-08-16,,2023-09-17,19993.6,"B06304984 - ACQUAJET SEMAE, S.L.U., Prórroga de contrato",2022
20,37/20,"Mediación, Asesoramiento C.V. Zona Norte",,Servicios,,2022-10-11,,2023-12-17,111219.0,"B54758735 - Filias Desarrollo Comunitario S.L., Prórroga de contrato",2022
21,73/20,"Impresión, ensobrado y manipulado Rec. Tributaria",,Servicios,,2022-11-22,,2023-12-31,54999.34,"B92621762 - CONSORCIO DE MANIPULADO Y SERVICIOS POSTALES, S.L., Prórroga de contrato",2022
22,28/19,Suministro material trabajos mantenimiento 4 lotes,,Suministros,,2022-11-22,,2024-01-07,193600.0,"A28002335 - SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, S.A., Prórroga de contrato",2022
23,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,,Servicios,,2022-12-30,,2024-01-02,165229.08,"B53648648 - Benesiu y Cantó S.L., Prórroga de contrato",2022
24,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,,Servicios,,2022-12-30,,2024-01-30,52030.0,"B53045126 - HIJOS DE EMILIO GUIRAO S.L., Prórroga de contrato",2022
25,68/20,Talleres Formación Laboral Atención SocioSanitaria,,Servicios,,2022-12-30,,2024-04-12,57707.6,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato",2022
26,15/22,Servicio Community Manager Redes Sociales Juventud,,Servicios,,2022-12-30,,2023-07-31,9131.1,"B33947508 - TALENTO TRANSFORMACIÓN DIGITAL, S.L., Prórroga de contrato",2022
27,70/19,Actividades Prevención Conductas Adictivas ,,Servicios,,2022-12-20,,2023-12-31,15300.0,"B53741815 - Auca Projectes Educatius S.L., Prórroga de contrato",2022
28,75/20,Gestión taller habilidades socio-laborales básicas,,Servicios,,2022-12-30,,2024-05-02,48202.02,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato",2022
29,70/19,Actividades Prevención Conductas Adictivas ,,Servicios,,2022-12-27,,2023-12-31,14700.0,"B53741815 - Auca Projectes Educatius S.L., Prórroga de contrato",2022
30,114/21,Publicidad Campaña Comunicación Tributaria ,,Servicios,,2022-12-30,,2023-12-31,73205.0,"A62748348 - WESTERN DYNAMICS MEDIA AGENCIA DE MEDIOS, S.A., Prórroga de contrato",2022
